MetricId,Metric,State,Interpretatoin,Remarks,MatricMapping
2.3.2,Index of unanswered threads on StackOverflow,KEPT,0,In stackoverflow,"0-5=1
5-10=2
10-15=3
15-20=4
Over 20=5"
2.3.3,Number of forums,REMOVED,,Irrelevant?,
2.3.4,Average number of threads per forum,REMOVED,,,
2.3.5,Average number of posts per year,REMOVED,,,
2.3.6,Forum internationalisation level,REMOVED,,,
2.3.7,Number of trackers,REMOVED,,"Ambiguity of the term ""tracker""",
2.3.8,Volume of Wikis Usability of the documentation (same as 2.5.6),CHANGED,1,How big the docu is,"Documentation provides no instructions=1
Documentation includes intallation instructions=2
Documentation provides project setup=3
Documentation provides hello world=4
Documentation provides advanced examples and guides=5"
2.3.9,Number of faqs in the documentation,CHANGED,1,In the documentation,"No FAQ available=5
< 10 Questions=3
11+ Questions=5"
2.4.1,Availability of training services,KEPT,1,,"No=1
Yes=5"
2.4.2,Temporal coverage of training services,REMOVED,,,
2.4.3,Availability of e-learning services,REMOVED,,,
2.4.4,Availability of phone assistance,REMOVED,,Not applicable to domain,
2.4.5,Availability of certification services,KEPT,1,,"No=1
Yes=5"
2.4.6,Availability of outsourcing services,REMOVED,,,
2.4.7,Availability of maintenance  services,REMOVED,,,
2.4.8,Availability of information and services for TCO estimation,REMOVED,,,
2.4.9,Availability of consulting services,KEPT,1,,"No=1
Yes=5"
2.5.1,Number of topics covered in the administrator documentation,REMOVED,,Not suitable to context,
2.5.2,Number of topics covered in the user documentation,REMOVED,,,
2.5.3,Number of topics covered in the technical documentation,REMOVED,,Number of topics covered by the documentation is irrelevant,
2.5.4,Number of topics covered in the other documents,REMOVED,,,
2.5.5,Number of additional documentation files,REMOVED,,,
2.5.6,Usability of the documentation,KEPT,1,,"Documentation provides no instructions=1
Documentation includes installation instructions=2
Documentation provides project setup=3
Documentation provides hello world=4
Documentation provides advanced examples and guides=5"
,// Same as 1d.1,,,,
3.2.1,Number of weekly downloads,CHANGED,1,,"0-250K=1
250K-500K=2
500K-750K=3
750K-1M=4
Over 1M=5"
3.2.2,Freshmeat popularity index Number of stars on GitHub,CHANGED,1,,"0-50=1
50-500=2
500-5K=3
5K-50k=4
Over 50K=5"
3.2.3,Number of rating source forge users Number of forks on GitHub,CHANGED,1,,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
3.2.4,Positive rating index,REMOVED,,,
3.2.5,Number of success stories,REMOVED,,,
3.2.6,Google visibility,REMOVED,,,
3.2.7,Number of official partners/spronsors,CHANGED,1,,"None=1
Many=5"
3.2.8,Number of published books,KEPT,1,,"None=1
Many=5"
3.2.9,Number of citations by domain expert,REMOVED,,Ambiguous: Who are domain experts,
3.2.10,Number State of academic publications,CHANGED,1,,"No academic publications found: 1
Academic publications done by the users of the software product: 3
Academic publications done by the authors of the software product: 5"
3.2.11,Sponsor availability,KEPT,1,,"No=1
Yes=5"
3.3.1,Availability of services and information for the estimation of the TCO,REMOVED,,,
3.3.2,Availability of an edition without license cost,REMOVED,,,
3.3.3,Cost of the minimal edition,REMOVED,,,
3.3.4,Cost of the complete edition,REMOVED,,,
3.4.1,License type,KEPT,1,,"Commercial usage allowed=5
Commercial not usage allowed=1"
