MetricId,Metric,MatricMapping
1f.1.1,First Contentful Paint,"0-1.8=1
1.8-3=3
Over 3=5"
1f.1.2,Speed Index,"0–3.4=1
3.4–5.8=3
Over 5.8=5"
1f.1.3,Largest Contentful Paint,"0–2.5=1
2.5–4=3
Over 4=5"
1f.1.4,Time to Interactive,"0–3.8=1
3.8–7.3=3
Over 7.3=5"
1f.1.5,Total Blocking Time,"0–200=1
200–600=3
Over 600=5"
1f.1.6,Cumulative Layout Shift,"0–0.1=1
0.1–0.25=3
Over 0.25=5"
1f.2.1,Efficient re-renders,"Redundant re-renders=1
Suboptimal re-renders=3
Optimal re-renders=5"
2.1.1,Number of committers,"0-100=1
100-200=2
200-300=3
300-400=4
Over 400=5"
2.2.1,Number of major releases per year,
2.2.2,Average number of commits per year,"0=1
1-10=2
10-100=3
100-1000=4
Over 1000=5"
2.2.3,Average number of commits per committer,"0-2.5=1
2.5-5=2
5-7.5=3
7.5-10=4
Over 10=5"
2.2.4,Closed bugs index issues on GitHub,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
2.2.5,Index of satisfied requests merged pull requests on GitHub,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
2.3.1,Average number of threads per year on StackOverflow,"0-200=1
200-400=2
400-600=3
600-800=4
Over 800=5"
2.3.2,Index of unanswered threads on StackOverflow,"0-5=1
5-10=2
10-15=3
15-20=4
Over 20=5"
2.3.3,Number of forums,
2.3.4,Average number of threads per forum,
2.3.5,Average number of posts per year,
2.3.6,Forum internationalisation level,
2.3.7,Number of trackers,
2.3.8,Volume of Wikis Usability of the documentation (same as 2.5.6),"Documentation provides no instructions=1
Documentation includes intallation instructions=2
Documentation provides project setup=3
Documentation provides hello world=4
Documentation provides advanced examples and guides=5"
2.3.9,Number of faqs in the documentation,"No FAQ available=5
< 10 Questions=3
11+ Questions=5"
2.4.1,Availability of training services,"No=1
Yes=5"
2.4.2,Temporal coverage of training services,
2.4.3,Availability of e-learning services,
2.4.4,Availability of phone assistance,
2.4.5,Availability of certification services,"No=1
Yes=5"
2.4.6,Availability of outsourcing services,
2.4.7,Availability of maintenance  services,
2.4.8,Availability of information and services for TCO estimation,
2.4.9,Availability of consulting services,"No=1
Yes=5"
2.5.1,Number of topics covered in the administrator documentation,
2.5.2,Number of topics covered in the user documentation,
2.5.3,Number of topics covered in the technical documentation,
2.5.4,Number of topics covered in the other documents,
2.5.5,Number of additional documentation files,
2.5.6,Usability of the documentation,"Documentation provides no instructions=1
Documentation includes installation instructions=2
Documentation provides project setup=3
Documentation provides hello world=4
Documentation provides advanced examples and guides=5"
,// Same as 1d.1,
3.2.1,Number of weekly downloads,"0-250K=1
250K-500K=2
500K-750K=3
750K-1M=4
Over 1M=5"
3.2.2,Freshmeat popularity index Number of stars on GitHub,"0-50=1
50-500=2
500-5K=3
5K-50k=4
Over 50K=5"
3.2.3,Number of rating source forge users Number of forks on GitHub,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
3.2.4,Positive rating index,
3.2.5,Number of success stories,
3.2.6,Google visibility,
3.2.7,Number of official partners/spronsors,"None=1
Many=5"
3.2.8,Number of published books,"None=1
Many=5"
3.2.9,Number of citations by domain expert,
3.2.10,Number State of academic publications,"No academic publications found: 1
Academic publications done by the users of the software product: 3
Academic publications done by the authors of the software product: 5"
3.2.11,Sponsor availability,"No=1
Yes=5"
3.3.1,Availability of services and information for the estimation of the TCO,
3.3.2,Availability of an edition without license cost,
3.3.3,Cost of the minimal edition,
3.3.4,Cost of the complete edition,
3.4.1,License type,"Commercial usage allowed=5
Commercial not usage allowed=1"
